Date,Contributor,Amount,Recipient,Description
2025-04-07,PIPEDRIVE,38.4,Ben Kaplan for Community College Board 2024,
2025-04-02,GOOGLE,14.4,Ben Kaplan for Community College Board 2024,
2025-03-27,AMALGAMATED BANK,14.0,"Yes on K, Ocean Beach Park for All Sponsored By Community Nonprofits",
2025-03-25,S.E. OWENS & COMPANY,475.0,San Francisco Communities Against Displacement,
2025-03-06,"LYFT, INC.",19.91,Parag Gupta for School Board 2024,03/06/25: Cab fare for community meeting.  Candidate in attendance.
2025-03-06,PIPEDRIVE,38.4,Ben Kaplan for Community College Board 2024,
2025-03-06,S.E. OWENS & COMPANY,245.0,San Francisco Communities Against Displacement,
2025-03-03,GOOGLE,14.4,Ben Kaplan for Community College Board 2024,
2025-02-26,AMALGAMATED BANK,50.0,"Yes on K, Ocean Beach Park for All Sponsored By Community Nonprofits",
2025-02-19,S.E. OWENS & COMPANY,760.0,San Francisco Communities Against Displacement,
2025-02-18,"YES ON G, THE AFFORDABLE HOUSING OPPORTUNITY FUND",319.78,San Francisco Communities Against Displacement,
